season,runs_conceded,batting_team
2016,83,"Kings XI Punjab"
2016,101,"Rising Pune Supergiants"
2016,102,"Mumbai Indians"
2016,109,"Delhi Daredevils"
2016,118,"Royal Challengers Bangalore"
2016,124,"Sunrisers Hyderabad"
2016,130,"Kolkata Knight Riders"
2016,132,"Gujarat Lions"
