toss_winner,winner
"Pune Warriors",3
"Rising Pune Supergiants",3
"Kochi Tuskers Kerala",4
"Rising Pune Supergiant",5
"Gujarat Lions",10
"Sunrisers Hyderabad",17
"Deccan Chargers",19
"Kings XI Punjab",28
"Delhi Daredevils",33
"Rajasthan Royals",34
"Royal Challengers Bangalore",35
"Chennai Super Kings",42
"Kolkata Knight Riders",44
"Mumbai Indians",48
